elution_time,intensity
0.000000000000000000e+00,8.000000000000000167e-03
1.670000000000000043e-03,2.000000000000000042e-03
3.330000000000000061e-03,-2.000000000000000042e-03
5.000000000000000104e-03,1.200000000000000025e-02
6.669999999999999714e-03,1.400000000000000029e-02
8.330000000000000598e-03,1.000000000000000021e-03
1.000000000000000021e-02,-1.000000000000000021e-02
1.166999999999999982e-02,1.000000000000000021e-03
1.332999999999999984e-02,0.000000000000000000e+00
1.499999999999999944e-02,-1.600000000000000033e-02
1.667000000000000079e-02,-2.900000000000000147e-02
1.832999999999999907e-02,-2.000000000000000042e-02
2.000000000000000042e-02,-2.199999999999999872e-02
2.166999999999999829e-02,-3.500000000000000333e-02
2.333000000000000004e-02,-3.799999999999999906e-02
2.500000000000000139e-02,-2.299999999999999961e-02
2.666999999999999926e-02,-2.199999999999999872e-02
2.833000000000000101e-02,-3.500000000000000333e-02
2.999999999999999889e-02,-4.499999999999999833e-02
3.166999999999999676e-02,-2.999999999999999889e-02
3.332999999999999852e-02,-2.400000000000000050e-02
3.500000000000000333e-02,-3.400000000000000244e-02
3.667000000000000121e-02,-4.499999999999999833e-02
3.833000000000000296e-02,-2.800000000000000058e-02
4.000000000000000083e-02,-2.199999999999999872e-02
4.166999999999999871e-02,-2.800000000000000058e-02
4.333000000000000046e-02,-3.500000000000000333e-02
4.499999999999999833e-02,-2.199999999999999872e-02
4.667000000000000315e-02,-1.700000000000000122e-02
4.832999999999999796e-02,-2.199999999999999872e-02
5.000000000000000278e-02,-3.099999999999999978e-02
5.167000000000000065e-02,-1.899999999999999953e-02
5.333000000000000240e-02,-1.499999999999999944e-02
5.500000000000000028e-02,-2.599999999999999881e-02
5.666999999999999815e-02,-4.000000000000000083e-02
5.832999999999999990e-02,-3.200000000000000067e-02
5.999999999999999778e-02,-2.599999999999999881e-02
6.167000000000000259e-02,-2.999999999999999889e-02
6.332999999999999741e-02,-3.899999999999999994e-02
6.500000000000000222e-02,-2.699999999999999969e-02
6.666999999999999316e-02,-2.699999999999999969e-02
6.833000000000000185e-02,-3.899999999999999994e-02
7.000000000000000666e-02,-5.600000000000000117e-02
7.166999999999999760e-02,-4.700000000000000011e-02
7.333000000000000629e-02,-3.799999999999999906e-02
7.499999999999999722e-02,-4.200000000000000261e-02
7.667000000000000204e-02,-5.399999999999999939e-02
7.832999999999999685e-02,-4.200000000000000261e-02
8.000000000000000167e-02,-3.200000000000000067e-02
8.167000000000000648e-02,-3.400000000000000244e-02
8.333000000000000129e-02,-4.599999999999999922e-02
8.500000000000000611e-02,-3.400000000000000244e-02
8.666999999999999704e-02,-2.400000000000000050e-02
8.833000000000000573e-02,-2.999999999999999889e-02
8.999999999999999667e-02,-4.499999999999999833e-02
9.167000000000000148e-02,-3.300000000000000155e-02
9.332999999999999630e-02,-2.500000000000000139e-02
9.500000000000000111e-02,-3.099999999999999978e-02
9.667000000000000592e-02,-4.700000000000000011e-02
9.833000000000000074e-02,-3.899999999999999994e-02
1.000000000000000056e-01,-2.999999999999999889e-02
1.016699999999999965e-01,-3.300000000000000155e-02
1.033300000000000052e-01,-4.599999999999999922e-02
1.049999999999999961e-01,-3.400000000000000244e-02
1.066700000000000009e-01,-2.400000000000000050e-02
1.083299999999999957e-01,-2.800000000000000058e-02
